weight,id,name,cfa_url,vetstreet_url,vcahospitals_url,temperament,origin,country_codes,country_code,description,life_span,indoor,lap,alt_names,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,experimental,hairless,natural,rare,rex,suppressed_tail,short_legs,wikipedia_url,hypoallergenic,cat_friendly,bidability
"{'imperial': '7  -  10', 'metric': '3 - 5'}",abys,Abyssinian,http://cfa.org/Breeds/BreedsAB/Abyssinian.aspx,http://www.vetstreet.com/cats/abyssinian,https://vcahospitals.com/know-your-pet/cat-breeds/abyssinian,"Active, Energetic, Independent, Intelligent, Gentle",Egypt,EG,EG,"The Abyssinian is easy to care for, and a joy to have in your home. They’re affectionate cats and love both people and other animals.",14 - 15,0,1.0,,5,5,3,4,5,1,2,5,2,5,5,1,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/Abyssinian_(cat),0,,
"{'imperial': '7 - 10', 'metric': '3 - 5'}",aege,Aegean,,http://www.vetstreet.com/cats/aegean-cat,,"Affectionate, Social, Intelligent, Playful, Active",Greece,GR,GR,"Native to the Greek islands known as the Cyclades in the Aegean Sea, these are natural cats, meaning they developed without humans getting involved in their breeding. As a breed, Aegean Cats are rare, although they are numerous on their home islands. They are generally friendly toward people and can be excellent cats for families with children.",9 - 12,0,,,5,4,4,4,3,3,1,3,3,4,4,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Aegean_cat,0,,
"{'imperial': '7 - 16', 'metric': '3 - 7'}",abob,American Bobtail,http://cfa.org/Breeds/BreedsAB/AmericanBobtail.aspx,http://www.vetstreet.com/cats/american-bobtail,https://vcahospitals.com/know-your-pet/cat-breeds/american-bobtail,"Intelligent, Interactive, Lively, Playful, Sensitive",United States,US,US,American Bobtails are loving and incredibly intelligent cats possessing a distinctive wild appearance. They are extremely interactive cats that bond with their human family with great devotion.,11 - 15,0,1.0,,5,5,4,5,3,1,1,5,3,3,3,3,0,0,0,0,0,1,0,https://en.wikipedia.org/wiki/American_Bobtail,0,,
"{'imperial': '5 - 10', 'metric': '2 - 5'}",acur,American Curl,http://cfa.org/Breeds/BreedsAB/AmericanCurl.aspx,http://www.vetstreet.com/cats/american-curl,https://vcahospitals.com/know-your-pet/cat-breeds/american-curl,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",United States,US,US,"Distinguished by truly unique ears that curl back in a graceful arc, offering an alert, perky, happily surprised expression, they cause people to break out into a big smile when viewing their first Curl. Curls are very people-oriented, faithful, affectionate soulmates, adjusting remarkably fast to other pets, children, and new situations.",12 - 16,0,1.0,,5,5,4,5,3,2,1,3,3,3,3,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/American_Curl,0,,
"{'imperial': '8 - 15', 'metric': '4 - 7'}",asho,American Shorthair,http://cfa.org/Breeds/BreedsAB/AmericanShorthair.aspx,http://www.vetstreet.com/cats/american-shorthair,https://vcahospitals.com/know-your-pet/cat-breeds/american-shorthair,"Active, Curious, Easy Going, Playful, Calm",United States,US,US,"The American Shorthair is known for its longevity, robust health, good looks, sweet personality, and amiability with children, dogs, and other pets.",15 - 17,0,1.0,Domestic Shorthair,5,5,4,5,3,1,3,3,3,4,3,3,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/American_Shorthair,0,,
"{'imperial': '8 - 15', 'metric': '4 - 7'}",awir,American Wirehair,http://cfa.org/Breeds/BreedsAB/AmericanWirehair.aspx,http://www.vetstreet.com/cats/american-wirehair,,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",United States,US,US,"The American Wirehair tends to be a calm and tolerant cat who takes life as it comes. His favorite hobby is bird-watching from a sunny windowsill, and his hunting ability will stand you in good stead if insects enter the house.",14 - 18,0,1.0,,5,5,4,5,3,1,3,3,1,3,3,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/American_Wirehair,0,,
"{'imperial': '8 - 16', 'metric': '4 - 7'}",amau,Arabian Mau,,,,"Affectionate, Agile, Curious, Independent, Playful, Loyal",United Arab Emirates,AE,AE,"Arabian Mau cats are social and energetic. Due to their energy levels, these cats do best in homes where their owners will be able to provide them with plenty of playtime, attention and interaction from their owners. These kitties are friendly, intelligent, and adaptable, and will even get along well with other pets and children.",12 - 14,0,,Alley cat,5,5,4,5,4,1,1,3,1,3,3,1,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/Arabian_Mau,0,,
"{'imperial': '7 - 15', 'metric': '3 - 7'}",amis,Australian Mist,,,,"Lively, Social, Fun-loving, Relaxed, Affectionate",Australia,AU,AU,"The Australian Mist thrives on human companionship. Tolerant of even the youngest of children, these friendly felines enjoy playing games and being part of the hustle and bustle of a busy household. They make entertaining companions for people of all ages, and are happy to remain indoors between dusk and dawn or to be wholly indoor pets.",12 - 16,0,1.0,Spotted Mist,5,5,4,5,4,3,1,4,3,4,4,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Australian_Mist,0,,
"{'imperial': '4 - 10', 'metric': '2 - 5'}",bali,Balinese,http://cfa.org/Breeds/BreedsAB/Balinese.aspx,http://www.vetstreet.com/cats/balinese,https://vcahospitals.com/know-your-pet/cat-breeds/balinese,"Affectionate, Intelligent, Playful",United States,US,US,"Balinese are curious, outgoing, intelligent cats with excellent communication skills. They are known for their chatty personalities and are always eager to tell you their views on life, love, and what you’ve served them for dinner. ",10 - 15,0,,Long-haired Siamese,5,5,4,5,5,3,3,5,3,5,5,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Balinese_(cat),1,,
"{'imperial': '4 - 9', 'metric': '2 - 4'}",bamb,Bambino,,,,"Affectionate, Lively, Friendly, Intelligent",United States,US,US,"The Bambino is a breed of cat that was created as a cross between the Sphynx and the Munchkin breeds. The Bambino cat has short legs, large upright ears, and is usually hairless. They love to be handled and cuddled up on the laps of their family members.",12 - 14,0,1.0,,5,5,4,5,5,1,1,5,1,3,3,3,1,1,0,0,0,0,1,https://en.wikipedia.org/wiki/Bambino_cat,0,,
